,Word,0,1,2,3,4,5
0,able,0.008,,,,,
1,ambience,,,,0.009,,
2,based,0.008,,,,,
3,bracelet,0.008,,,,,
4,create,,,,0.011,,
5,day,,,,,0.011,
6,desk,,,,,,0.009
7,device,,,0.025,0.011,,
8,different,,,,,0.011,
9,help,,0.01,,,,
10,index,0.0,1.0,2.0,3.0,4.0,5.0
11,interface,,,0.005,,,
12,laptop,,,,,0.007,
13,light,,,,0.023,,
14,like,,,,,,0.009
15,massage,,0.01,,,,
16,name,0.013,,,,,
17,nausea,,,,0.009,,
18,noise,,,,0.007,,
19,people,0.013,0.02,,0.007,,
20,pillow,,,,,,0.015
21,portable,,,,,,0.009
22,posture,,,,,,0.015
23,reduce,,0.009,,,,
24,relax,,0.01,,,,
25,schedule,,,0.01,,,
26,screen,0.011,,,,,
27,set,,,0.008,,,
28,shows,,,0.008,,,
29,sleep,,0.01,,,,
30,surface,,,,,0.007,
31,tables,0.008,,,,,
32,tasks,,,0.013,,,0.009
33,time,,,,,,0.009
34,track,,,,,,0.012
35,user,,0.008,,0.007,0.011,
36,users,,,,,0.018,
37,water,,,,,0.014,
38,wearable,,,0.008,,0.007,
39,work,0.013,,0.01,,,
40,wrist,,0.012,,,,
