,Word,0,1,2,3,4,5
0,adjust,,0.016,,,,
1,ambience,,,,,,0.013
2,bracelet,,,,,0.025,
3,calming,,,,0.013,,
4,cm,,0.016,,,,
5,create,,,,,,0.017
6,designed,,,0.013,,,
7,detect,,,0.019,,,
8,device,0.028,0.023,,0.036,,0.021
9,display,0.021,,,,,
10,help,,,,,,0.021
11,index,0.0,1.0,2.0,3.0,4.0,5.0
12,levels,,0.016,,,,
13,light,,0.031,,,,0.03
14,massage,,,,,,0.017
15,name,,,0.032,,,
16,necklace,,,,,0.013,
17,pendants,,,,,0.025,
18,persons,,,,0.025,,
19,pillow,,,0.032,,,
20,posture,,,0.038,,,
21,reduce,,,0.013,,,
22,relax,,,,0.013,,0.017
23,schedule,0.021,,,,,
24,settings,,0.016,,,,
25,sleep,,,,0.013,,
26,software,0.014,,,,,
27,sound,,0.016,,0.025,,
28,stress,,0.016,,,,
29,tablet,0.021,,,,,
30,tasks,0.028,,,,,
31,technology,,,,,0.025,
32,two,,,,,0.036,
33,use,,,,,0.013,
34,user,0.014,,0.019,,,
35,users,0.014,,0.019,,,
36,uses,,,,0.013,0.013,
37,waves,,,,0.025,,
38,wireless,,,,,0.013,
39,wrist,,,,,,0.021
