,Word,0,1,2,3,4,5
0,able,,,,0.012,,
1,app,,0.009,,,,
2,based,,,,0.015,,
3,break,,0.013,,,,
4,could,,,0.009,,,
5,day,0.005,,,0.015,,
6,depending,,,,,,0.005
7,device,,,,,0.009,
8,devices,,,,,,0.01
9,dont,,,,,,0.005
10,fun,,,,,,0.005
11,help,,,,,0.009,
12,hours,0.005,,,,,
13,ie,,0.013,,,,
14,index,0.0,1.0,2.0,3.0,4.0,5.0
15,interactive,,,,0.009,,
16,interface,,0.022,,,,
17,know,,,,,0.009,
18,lap,,,,,0.009,
19,laptop,,,0.007,,,
20,like,,0.009,,,,
21,noise,,,,0.009,,
22,nonverbal,0.01,,,,,
23,people,0.01,,0.016,0.017,,0.014
24,phone,0.01,,,,,
25,portable,,,,,,0.005
26,remind,,,,,,0.01
27,screen,0.014,,,,,
28,sleep,,,0.007,,,
29,space,,,0.01,,,
30,spaces,,,0.01,,,
31,study,,,0.007,,,
32,tables,,,,,0.017,
33,time,,,,0.018,,
34,user,,,,,0.017,
35,users,0.01,0.013,,,,
36,vibrates,,0.009,,,,
37,water,,,,,,0.01
38,wearable,,0.013,,,,
39,wifi,,,,,0.009,
40,work,0.01,,0.013,,0.01,
41,working,,,,0.009,,
