Team 1,Team 2,Team 3,Team 4,Team 5
Wearables to support meditation on bus / during study breaks,Headphones that respond to surrounding sound levels,a portable screen that is not a computer screen,An audio device that uses AI to synthesize/summarize notifications out loud at regular intervals (every 30 mins?) so a user can kick the habit of compulsively checking their phone,necklace tied to maps that vibrates based on direction you have to move in
monitor and reduce stress through affective computing,glasses that identify and instruct how to organize a space,Portable desk that is stable on bumpy rides,AR glasses/headset that can give a user signals about their peripheral-- so they can be aware of danger in their surroundings while focused on work in a mobile environment,bracelet that electrocutes you if you don't go to sleep/wake up in time
emotional support bot in a tangible format,wrist band that vibrates to subtly remind someone of their schedule,some way to have portable wifi since wifi is unreliable/nonexistent when commutting,"a tangible interface planner that has users break down tasks physically into micro-tasks, moving around and breaking apart pieces (could be built or made with AR?)","tamogatchi-like pet that's tied to a pomodoro system, and if you don't feed it, it dies. it respawns as its own orphaned children"
encourage people to make friends of different personalities (Pokemon vibe),a pencil that keeps track of how much you are writing,a way to silence background noise when on a video call so people can hear you speak.,"a mobile, collapsible lap desk that commuters can carry with them and then expand on a train/subway, and that has some organization or planning tech/functionality","buttons/motion sensors on dining hall tables, so that you know how many tables are taken before you arrive"
"make the Zoom/remote meetings more collaborate and realistic (tangible lights, smiles, etc.)",glasses that tint depending on how long you are looking at a screen,an app that tells you trivia questions about the area you are currently traveling in,Some type of jacket/sweater that can respond dynamically to indoor/outdoor temperature changes,"Bag that blocks work websites in set leisure spaces, and that blocks leisure websites in work spaces"
help people relax and prepare for sleep (tangible melatonin),a table that keeps track of all of your tasks so when you finish something you can visually see your progress,a game that can be used with other people in your area to play a competition based game,Wristbands with heart rate monitors and acupressure for anxiety relief,mouth guard or face mask that vibrates when you clench your jaw (for people who need to stop clenching)
coffee cup with screen that wraps around the outside that tracks work progress in tangent with amount of coffee left in the cup,device that can tell when someone is burning out and reminds them to take a break,rooms in public transportation vehicles meant for studying people,A wearable interface that tracks vitals (ie heart rate) and opens an app with a set check in routine when it detects high levels (ie opens a grounding exercise in app when it detects ur heart rate is increased),Wearable that collects data on bus/train routes and alerts wearer when they are ~5 min from stop to put away belongings
"Device that can scan paper readings or documents and save them as audio files, reading them out loud to the user while in transit",speaker that user can talk to and bounce ideas off of,audio flashcards where u are asked a question and reply back,Wearable interface (ie locket) that allows users to take a photo once a day and upload it so the photo shows up in that user’s locket,Earpiece/earbuds that combat motion sickness????
Smart earrings that act as headsets for calls; unobtrusive and hard to lose,water bottle that has an alarm to remind user to stay hydrated,collaborative working environment idea: facilitate finding travel and study buddies studying the same type of material and taking the same commuting route,"A wearable interface that syncs to an app and allows for easy, convenient tracking of habits / mood based on reminders",Backpack with wireless charger to charge phone/laptop while not in use
Neck pillow with breathing pattern mechanics to facilitate sleep on long flights,mouse that warms or cools depending on the temperature of the hand,"poke stop-like devices for activists in a specific field or devices in which you can collect ""fun facts"" when u spin them or review things",Fidget toy that can be converted into multiple forms and has weights and sensors that put out visible and tactile input in response,Pockets in bag/jacket that detect when phone is inside and automatically places phone on DND for uniterrupted work
Making the most out of work trips with an interface that shows favorite local spots (could be installed in hotels that travelling workers use),glasses that tint depending on time of day (to prevent not being able to sleep),pokemon go gyms or where u can compete against people studying the same thing similar to trivia crack but specialized material (could be for a class) or u could go random and select a specific topic- maybe collaboration with khan academy?,Interactive art therapy board that allows for people to sync with an app that would track journal entries and mood and can be sent to a contact (parent or therapist),Attatchment for laptop that detects the light levels in the space and changes screen brightness and color settings to reduce eye-strain and sleep disruption
Laptop case that doubles as an interactive laptop stand..?,cushion for the back that vibrates when someone is slouching,create an a feature that disables all notifications from apps (or maybe a machine that stores the phone away while people work),wearable for users who may go non-verbal that triggers a notification to people or has a visible alert indicating they've gone nonverbal,Bag that uses sensor to alert you if something you took out wasnt put back in after its been closed to prevent loss
interface that helps keep track of time & tells you to work or rest based on best practices for productivity,"some sort of device that can hold multiple pieces of info, like a clipboard, ez to move info around like sticky notes",sound silencer headphones so that the worker can wear them in public spaces and not be distracted by outside noise while working,Bracelet that prompts users to connect through video/audio call at random times during the day to foster feelings of togetherness,a light (on a bracelet?) that indicates wifi strength
"reminder interface that enforces well being practices such as grabbing a drink of water, going for a walk, taking a break from the screen",hotkeys device that you can reprogram to suit ur needs,side and upper flats that deploy when the content the person is working with is sensitive/confidential so that outside eyes cannot peak at the contents of it,Water bottle that lights up at certain points in the day to remind users to drink water,a physical measure of time ? to keep on your desk and keep you on track
"place where people are able to connect based on proximity to start conversations, meet new people, and exchange ideas",lights of some kind?? some sort of ambience thingy (replicate sunlight/coffeeshop/cheerful atmospheres),wearable technology that will let the user know if they are getting stressed from work and hence when to take a break from working remotly,Wearable jacket/vest that vibrates to simulate massage sensations,a smart bag that emits wifi signal when laptop is removed
