word,pos,AvgFreq,rn,pos_1,ChatFreq,rn_chat,pos_2,HumanFreq,rn_human,ChatFreqSig,HumanFreqSig
device,NOUN,2.7789800353617204,2,NOUN,4.2613636363636358,1,NOUN,1.2965964343598055,4,1.4823836010019154,-1.4823836010019149
surface,NOUN,0.99431818181818177,6,NOUN,1.9886363636363635,4,NOUN,0.0,414,0.99431818181818177,-0.99431818181818177
light,NOUN,2.210798217179903,3,NOUN,3.125,3,NOUN,1.2965964343598055,5,0.914201782820097,-0.91420178282009745
user,NOUN,3.1231582437011935,1,NOUN,3.9772727272727271,2,NOUN,2.26904376012966,2,0.85411448357153352,-0.85411448357153352
posture,NOUN,0.85227272727272718,12,NOUN,1.7045454545454544,5,NOUN,0.0,415,0.85227272727272718,-0.85227272727272718
people,NOUN,1.9458155296891118,4,NOUN,1.1363636363636365,16,NOUN,2.7552674230145868,1,-0.80945189332547529,0.80945189332547507
pillow,NOUN,0.93331000442021506,8,NOUN,1.7045454545454544,6,NOUN,0.16207455429497569,168,0.77123545012523931,-0.77123545012523942
wrist,NOUN,0.93331000442021506,9,NOUN,1.7045454545454544,7,NOUN,0.16207455429497569,169,0.77123545012523931,-0.77123545012523942
display,NOUN,0.71022727272727271,19,NOUN,1.4204545454545454,9,NOUN,0.0,416,0.71022727272727271,-0.71022727272727271
name,NOUN,0.71022727272727271,20,NOUN,1.4204545454545454,10,NOUN,0.0,417,0.71022727272727271,-0.71022727272727271
sound,NOUN,1.0143472815677028,5,NOUN,1.7045454545454544,8,NOUN,0.32414910858995138,60,0.69019817297775155,-0.69019817297775143
other,NOUN,0.79126454987476058,14,NOUN,1.4204545454545454,11,NOUN,0.16207455429497569,170,0.62918999557978483,-0.62918999557978483
cm,NOUN,0.56818181818181823,32,NOUN,1.1363636363636365,12,NOUN,0.0,418,0.56818181818181823,-0.56818181818181823
digital,ADJ,0.42613636363636359,43,ADJ,0.85227272727272718,17,ADJ,0.0,373,0.42613636363636359,-0.42613636363636359
intensity,NOUN,0.42613636363636359,44,NOUN,0.85227272727272718,19,NOUN,0.0,419,0.42613636363636359,-0.42613636363636359
plastic,NOUN,0.42613636363636359,45,NOUN,0.85227272727272718,20,NOUN,0.0,420,0.42613636363636359,-0.42613636363636359
smartphone,NOUN,0.42613636363636359,46,NOUN,0.85227272727272718,21,NOUN,0.0,421,0.42613636363636359,-0.42613636363636359
massage,NOUN,0.81129364962428174,13,NOUN,1.1363636363636365,15,NOUN,0.48622366288492708,31,0.32506998673935472,-0.32506998673935467
soft,ADJ,0.28409090909090912,86,ADJ,0.56818181818181823,27,ADJ,0.0,374,0.28409090909090912,-0.28409090909090912
several,ADJ,0.28409090909090912,87,ADJ,0.56818181818181823,28,ADJ,0.0,375,0.28409090909090912,-0.28409090909090912
wallmounted,ADJ,0.28409090909090912,88,ADJ,0.56818181818181823,29,ADJ,0.0,376,0.28409090909090912,-0.28409090909090912
ambience,NOUN,0.58821091793133928,28,NOUN,0.85227272727272718,22,NOUN,0.32414910858995138,61,0.2640618093413879,-0.2640618093413879
schedule,NOUN,0.58821091793133928,29,NOUN,0.85227272727272718,23,NOUN,0.32414910858995138,62,0.2640618093413879,-0.2640618093413879
color,NOUN,0.58821091793133928,30,NOUN,0.85227272727272718,24,NOUN,0.32414910858995138,63,0.2640618093413879,-0.2640618093413879
person,NOUN,0.58821091793133928,31,NOUN,0.85227272727272718,25,NOUN,0.32414910858995138,64,0.2640618093413879,-0.2640618093413879
level,NOUN,0.89233092677176962,11,NOUN,1.1363636363636365,13,NOUN,0.64829821717990277,20,0.24403270959186685,-0.24403270959186685
task,NOUN,0.97336820391925749,7,NOUN,1.1363636363636365,14,NOUN,0.81037277147487841,13,0.16299543244437897,-0.16299543244437908
portable,ADJ,0.750285472226315,16,ADJ,0.85227272727272718,18,ADJ,0.64829821717990277,16,0.10198725504641215,-0.10198725504641226
bracelet,NOUN,0.750285472226315,17,NOUN,0.85227272727272718,26,NOUN,0.64829821717990277,21,0.10198725504641215,-0.10198725504641226
