vector,word,Maxpos,wordCount,percent_of_total
1,design,NOUN,1,11.11111111111111
1,lamp,NOUN,1,11.11111111111111
1,light,NOUN,1,11.11111111111111
1,meditation,NOUN,1,11.11111111111111
1,natural,ADJ,1,11.11111111111111
1,people,NOUN,1,11.11111111111111
1,sleep,NOUN,1,11.11111111111111
1,sound,NOUN,1,11.11111111111111
1,therapy,NOUN,1,11.11111111111111
2,brainstorming,NOUN,1,10.0
2,collaborative,ADJ,1,10.0
2,facial,ADJ,1,10.0
2,gesture,NOUN,1,10.0
2,interactive,ADJ,1,10.0
2,multitouch,ADJ,1,10.0
2,recognition,NOUN,1,10.0
2,session,NOUN,1,10.0
2,wallmounted,ADJ,1,10.0
2,whiteboard,NOUN,1,10.0
3,ability,NOUN,1,5.88235294117647
3,different,ADJ,1,5.88235294117647
3,digital,ADJ,1,5.88235294117647
3,metal,NOUN,1,5.88235294117647
3,other,ADJ,1,5.88235294117647
3,paper,NOUN,1,5.88235294117647
3,pen,NOUN,2,11.76470588235294
3,plastic,NOUN,1,5.88235294117647
3,surface,NOUN,4,23.52941176470588
3,type,NOUN,1,5.88235294117647
3,user,NOUN,2,11.76470588235294
3,wood,NOUN,1,5.88235294117647
4,machine,NOUN,1,16.666666666666664
4,rain,NOUN,1,16.666666666666664
4,sound,NOUN,2,33.33333333333333
4,wave,NOUN,1,16.666666666666664
4,wind,NOUN,1,16.666666666666664
5,display,NOUN,1,9.090909090909092
5,interactive,ADJ,1,9.090909090909092
5,location,NOUN,1,9.090909090909092
5,public,ADJ,1,9.090909090909092
5,review,NOUN,1,9.090909090909092
5,space,NOUN,1,9.090909090909092
5,tablet,NOUN,1,9.090909090909092
5,unit,NOUN,1,9.090909090909092
5,user,NOUN,1,9.090909090909092
5,wallmounted,ADJ,1,9.090909090909092
5,work,NOUN,1,9.090909090909092
12,adjustment,NOUN,1,2.564102564102564
12,ambience,NOUN,3,7.6923076923076925
12,atmosphere,NOUN,1,2.564102564102564
12,background,NOUN,1,2.564102564102564
12,cafe,NOUN,1,2.564102564102564
12,calming,ADJ,1,2.564102564102564
12,changing,NOUN,1,2.564102564102564
12,coffeeshop,NOUN,1,2.564102564102564
12,color,NOUN,2,5.128205128205128
12,cool,ADJ,1,2.564102564102564
12,cozy,ADJ,1,2.564102564102564
12,cycle,NOUN,1,2.564102564102564
12,daylight,NOUN,1,2.564102564102564
12,device,NOUN,2,5.128205128205128
12,environment,NOUN,1,2.564102564102564
12,feeling,NOUN,1,2.564102564102564
12,intensity,NOUN,1,2.564102564102564
12,jazz,NOUN,1,2.564102564102564
12,level,NOUN,1,2.564102564102564
12,light,NOUN,5,12.82051282051282
12,low,ADJ,1,2.564102564102564
12,music,NOUN,1,2.564102564102564
12,natural,ADJ,1,2.564102564102564
12,noise,NOUN,1,2.564102564102564
12,perfect,ADJ,1,2.564102564102564
12,relaxing,ADJ,1,2.564102564102564
12,simple,ADJ,1,2.564102564102564
12,subtle,ADJ,1,2.564102564102564
12,warm,ADJ,2,5.128205128205128
12,yelloworange,NOUN,1,2.564102564102564
13,background,NOUN,1,2.631578947368421
13,base,NOUN,1,2.631578947368421
13,bright,ADJ,1,2.631578947368421
13,button,NOUN,1,2.631578947368421
13,cm,NOUN,2,5.263157894736842
13,color,NOUN,1,2.631578947368421
13,current,ADJ,1,2.631578947368421
13,cylindrical,ADJ,1,2.631578947368421
13,device,NOUN,3,7.894736842105263
13,diameter,NOUN,1,2.631578947368421
13,display,NOUN,1,2.631578947368421
13,flat,ADJ,1,2.631578947368421
13,front,ADJ,1,2.631578947368421
13,height,NOUN,1,2.631578947368421
13,intensity,NOUN,1,2.631578947368421
13,knob,NOUN,1,2.631578947368421
13,led,NOUN,1,2.631578947368421
13,level,NOUN,1,2.631578947368421
13,light,ADJ,3,7.894736842105263
13,material,NOUN,1,2.631578947368421
13,noise,NOUN,1,2.631578947368421
13,panel,NOUN,1,2.631578947368421
13,plastic,NOUN,1,2.631578947368421
13,portable,ADJ,1,2.631578947368421
13,round,ADJ,1,2.631578947368421
13,setting,NOUN,2,5.263157894736842
13,several,ADJ,1,2.631578947368421
13,small,ADJ,1,2.631578947368421
13,sound,ADJ,1,2.631578947368421
13,surface,NOUN,1,2.631578947368421
13,user,NOUN,1,2.631578947368421
13,white,ADJ,1,2.631578947368421
14,name,NOUN,1,100.0
15,cushion,NOUN,1,33.33333333333333
15,posture,NOUN,1,33.33333333333333
