vector,word,Maxpos,wordCount,percent_of_total
1,break,NOUN,1,20.0
1,bus,NOUN,1,20.0
1,meditation,NOUN,1,20.0
1,study,NOUN,1,20.0
1,wearable,NOUN,1,20.0
2,affective,ADJ,1,33.33333333333333
2,computing,NOUN,1,33.33333333333333
2,stress,NOUN,1,33.33333333333333
3,bot,NOUN,1,20.0
3,emotional,ADJ,1,20.0
3,format,NOUN,1,20.0
3,support,NOUN,1,20.0
3,tangible,ADJ,1,20.0
4,different,ADJ,1,20.0
4,friend,NOUN,1,20.0
4,people,NOUN,1,20.0
4,personality,NOUN,1,20.0
4,vibe,NOUN,1,20.0
5,collaborate,ADJ,1,20.0
5,light,NOUN,1,20.0
5,meeting,NOUN,1,20.0
5,realistic,ADJ,1,20.0
5,tangible,ADJ,1,20.0
6,melatonin,NOUN,1,25.0
6,people,NOUN,1,25.0
6,sleep,NOUN,1,25.0
6,tangible,ADJ,1,25.0
7,amount,NOUN,1,10.0
7,coffee,NOUN,2,20.0
7,cup,NOUN,2,20.0
7,outside,NOUN,1,10.0
7,progress,NOUN,1,10.0
7,screen,NOUN,1,10.0
7,tangent,NOUN,1,10.0
7,track,NOUN,1,10.0
8,audio,ADJ,1,12.5
8,device,NOUN,1,12.5
8,document,NOUN,1,12.5
8,file,NOUN,1,12.5
8,paper,NOUN,1,12.5
8,reading,NOUN,1,12.5
8,transit,NOUN,1,12.5
8,user,NOUN,1,12.5
9,call,NOUN,1,16.666666666666664
9,earring,NOUN,1,16.666666666666664
9,hard,ADJ,1,16.666666666666664
9,headset,NOUN,1,16.666666666666664
9,smart,ADJ,1,16.666666666666664
9,unobtrusive,ADJ,1,16.666666666666664
10,breathing,NOUN,1,12.5
10,flight,NOUN,1,12.5
10,long,ADJ,1,12.5
10,mechanic,NOUN,1,12.5
10,neck,NOUN,1,12.5
10,pattern,NOUN,1,12.5
10,pillow,NOUN,1,12.5
10,sleep,NOUN,1,12.5
11,favorite,ADJ,1,11.11111111111111
11,hotel,NOUN,1,11.11111111111111
11,interface,NOUN,1,11.11111111111111
11,local,ADJ,1,11.11111111111111
11,most,ADJ,1,11.11111111111111
11,spot,NOUN,1,11.11111111111111
11,trip,NOUN,1,11.11111111111111
11,work,NOUN,1,11.11111111111111
11,worker,NOUN,1,11.11111111111111
12,case,NOUN,1,20.0
12,interactive,ADJ,1,20.0
12,laptop,NOUN,2,40.0
12,stand,NOUN,1,20.0
13,good,ADJ,1,16.666666666666664
13,interface,NOUN,1,16.666666666666664
13,practice,NOUN,1,16.666666666666664
13,productivity,NOUN,1,16.666666666666664
13,time,NOUN,1,16.666666666666664
13,track,NOUN,1,16.666666666666664
14,break,NOUN,1,11.11111111111111
14,drink,NOUN,1,11.11111111111111
14,interface,NOUN,1,11.11111111111111
14,practice,NOUN,1,11.11111111111111
14,reminder,NOUN,1,11.11111111111111
14,screen,NOUN,1,11.11111111111111
14,such,ADJ,1,11.11111111111111
14,walk,NOUN,1,11.11111111111111
14,water,NOUN,1,11.11111111111111
15,able,ADJ,1,11.11111111111111
15,conversation,NOUN,1,11.11111111111111
15,exchange,NOUN,1,11.11111111111111
15,idea,NOUN,1,11.11111111111111
15,new,ADJ,1,11.11111111111111
15,people,NOUN,2,22.22222222222222
15,place,NOUN,1,11.11111111111111
15,proximity,NOUN,1,11.11111111111111
16,connection,NOUN,1,9.090909090909092
16,facilitation,NOUN,1,9.090909090909092
16,people,NOUN,1,9.090909090909092
16,picture,NOUN,1,9.090909090909092
16,platform,NOUN,1,9.090909090909092
16,public,ADJ,1,9.090909090909092
16,review,NOUN,1,9.090909090909092
16,space,NOUN,2,18.181818181818183
16,work,NOUN,1,9.090909090909092
16,worker,NOUN,1,9.090909090909092
17,able,ADJ,2,18.181818181818183
17,accountabilitybuddy,NOUN,1,9.090909090909092
17,common,ADJ,1,9.090909090909092
17,goal,NOUN,1,9.090909090909092
17,people,NOUN,1,9.090909090909092
17,place,NOUN,1,9.090909090909092
17,platform,NOUN,1,9.090909090909092
17,preference,NOUN,1,9.090909090909092
17,productivity,NOUN,1,9.090909090909092
17,work,NOUN,1,9.090909090909092
18,checklist,NOUN,1,12.5
18,fun,NOUN,1,12.5
18,interactive,ADJ,1,12.5
18,list,NOUN,1,12.5
18,people,NOUN,1,12.5
18,task,NOUN,1,12.5
18,todo,ADJ,1,12.5
18,way,NOUN,1,12.5
19,exam,NOUN,1,20.0
19,measure,NOUN,1,20.0
19,online,ADJ,1,20.0
19,pulse,NOUN,1,20.0
19,tui,NOUN,1,20.0
20,move,NOUN,1,20.0
20,people,NOUN,1,20.0
20,portable,ADJ,1,20.0
20,printer,NOUN,1,20.0
20,screen,NOUN,1,20.0
21,awake,ADJ,1,16.666666666666664
21,deadline,NOUN,1,16.666666666666664
21,pen,NOUN,1,16.666666666666664
21,pulse,NOUN,1,16.666666666666664
21,reminder,NOUN,1,16.666666666666664
21,sensory,ADJ,1,16.666666666666664
22,adjustment,NOUN,1,12.5
22,ambiance,NOUN,1,12.5
22,color,NOUN,1,12.5
22,different,ADJ,1,12.5
22,environmental,ADJ,1,12.5
22,light,NOUN,1,12.5
22,lightdarkness,ADJ,1,12.5
22,reader,NOUN,1,12.5
23,darklight,ADJ,1,33.33333333333333
23,mode,NOUN,1,33.33333333333333
23,whiteboard,NOUN,1,33.33333333333333
24,approachable,ADJ,1,20.0
24,list,NOUN,1,20.0
24,overwhelming,ADJ,1,20.0
24,task,NOUN,1,20.0
24,tui,NOUN,1,20.0
26,headphone,NOUN,1,33.33333333333333
26,level,NOUN,1,33.33333333333333
26,sound,NOUN,1,33.33333333333333
27,glass,NOUN,1,50.0
27,space,NOUN,1,50.0
28,band,NOUN,1,33.33333333333333
28,schedule,NOUN,1,33.33333333333333
28,wrist,NOUN,1,33.33333333333333
29,much,ADJ,1,33.33333333333333
29,pencil,NOUN,1,33.33333333333333
29,track,NOUN,1,33.33333333333333
30,glass,NOUN,1,50.0
30,screen,NOUN,1,50.0
31,progress,NOUN,1,25.0
31,table,NOUN,1,25.0
31,task,NOUN,1,25.0
31,track,NOUN,1,25.0
32,break,NOUN,1,50.0
32,device,NOUN,1,50.0
33,idea,NOUN,1,33.33333333333333
33,speaker,NOUN,1,33.33333333333333
33,user,NOUN,1,33.33333333333333
34,alarm,NOUN,1,20.0
34,bottle,NOUN,1,20.0
34,hydrated,ADJ,1,20.0
34,user,NOUN,1,20.0
34,water,NOUN,1,20.0
35,hand,NOUN,1,33.33333333333333
35,temperature,NOUN,1,33.33333333333333
35,warm,NOUN,1,33.33333333333333
36,able,ADJ,1,25.0
36,day,NOUN,1,25.0
36,glass,NOUN,1,25.0
36,time,NOUN,1,25.0
37,back,NOUN,1,33.33333333333333
37,cushion,NOUN,1,33.33333333333333
37,vibrate,NOUN,1,33.33333333333333
38,clipboard,NOUN,1,10.0
38,device,NOUN,1,10.0
38,ez,NOUN,1,10.0
38,info,NOUN,2,20.0
38,multiple,ADJ,1,10.0
38,note,NOUN,1,10.0
38,piece,NOUN,1,10.0
38,sort,NOUN,1,10.0
38,sticky,ADJ,1,10.0
39,device,NOUN,1,50.0
39,need,NOUN,1,50.0
40,ambience,NOUN,1,14.285714285714285
40,atmosphere,NOUN,1,14.285714285714285
40,kind,NOUN,1,14.285714285714285
40,light,NOUN,1,14.285714285714285
40,replicate,ADJ,1,14.285714285714285
40,sort,NOUN,1,14.285714285714285
40,sunlightcoffeeshopcheerful,ADJ,1,14.285714285714285
41,hand,NOUN,1,20.0
41,mousekeyboard,NOUN,1,20.0
41,smth,NOUN,1,20.0
41,strain,NOUN,1,20.0
41,wristsfinger,NOUN,1,20.0
42,ambience,NOUN,1,20.0
42,atmosphere,NOUN,1,20.0
42,headphone,NOUN,1,20.0
42,librarycoffeeshop,NOUN,1,20.0
42,pleasing,ADJ,1,20.0
43,schedule,NOUN,1,25.0
43,task,NOUN,1,25.0
43,visual,ADJ,1,25.0
43,wayalway,NOUN,1,25.0
51,computer,NOUN,1,25.0
51,portable,ADJ,1,25.0
51,screen,NOUN,2,50.0
52,bumpy,ADJ,1,20.0
52,desk,NOUN,1,20.0
52,portable,ADJ,1,20.0
52,ride,NOUN,1,20.0
52,stable,ADJ,1,20.0
53,portable,ADJ,1,20.0
53,unreliablenonexistent,ADJ,1,20.0
53,way,NOUN,1,20.0
53,wifi,NOUN,2,40.0
54,background,NOUN,1,16.666666666666664
54,call,NOUN,1,16.666666666666664
54,noise,NOUN,1,16.666666666666664
54,people,NOUN,1,16.666666666666664
54,video,NOUN,1,16.666666666666664
