vector,word,Maxpos_x,wordCount_x,percent_of_total_x,Maxpos_y,wordCount_y,percent_of_total_y
1,break,NOUN,1,20.0,NOUN,4,0.6482982171799028
14,break,NOUN,1,11.11111111111111,NOUN,4,0.6482982171799028
32,break,NOUN,1,50.0,NOUN,4,0.6482982171799028
65,break,NOUN,1,20.0,NOUN,4,0.6482982171799028
1,bus,NOUN,1,20.0,NOUN,2,0.3241491085899514
93,bus,NOUN,1,14.285714285714285,NOUN,2,0.3241491085899514
1,meditation,NOUN,1,20.0,NOUN,1,0.1620745542949757
1,study,NOUN,1,20.0,NOUN,2,0.3241491085899514
59,study,NOUN,1,8.333333333333332,NOUN,2,0.3241491085899514
1,wearable,NOUN,1,20.0,NOUN,9,1.4586709886547813
65,wearable,ADJ,1,20.0,NOUN,9,1.4586709886547813
82,wearable,ADJ,1,6.666666666666667,NOUN,9,1.4586709886547813
83,wearable,ADJ,1,12.5,NOUN,9,1.4586709886547813
84,wearable,ADJ,1,11.11111111111111,NOUN,9,1.4586709886547813
87,wearable,ADJ,1,12.5,NOUN,9,1.4586709886547813
90,wearable,ADJ,1,20.0,NOUN,9,1.4586709886547813
99,wearable,ADJ,1,25.0,NOUN,9,1.4586709886547813
107,wearable,ADJ,1,11.11111111111111,NOUN,9,1.4586709886547813
2,affective,ADJ,1,33.33333333333333,ADJ,1,0.1620745542949757
2,computing,NOUN,1,33.33333333333333,NOUN,1,0.1620745542949757
2,stress,NOUN,1,33.33333333333333,NOUN,1,0.1620745542949757
3,bot,NOUN,1,20.0,NOUN,1,0.1620745542949757
3,emotional,ADJ,1,20.0,ADJ,1,0.1620745542949757
3,format,NOUN,1,20.0,NOUN,1,0.1620745542949757
3,support,NOUN,1,20.0,NOUN,1,0.1620745542949757
3,tangible,ADJ,1,20.0,ADJ,4,0.6482982171799028
5,tangible,ADJ,1,20.0,ADJ,4,0.6482982171799028
6,tangible,ADJ,1,25.0,ADJ,4,0.6482982171799028
78,tangible,ADJ,1,14.285714285714285,ADJ,4,0.6482982171799028
4,different,ADJ,1,20.0,ADJ,2,0.3241491085899514
22,different,ADJ,1,12.5,ADJ,2,0.3241491085899514
4,friend,NOUN,1,20.0,NOUN,1,0.1620745542949757
4,people,NOUN,1,20.0,NOUN,17,2.755267423014587
6,people,NOUN,1,25.0,NOUN,17,2.755267423014587
15,people,NOUN,2,22.22222222222222,NOUN,17,2.755267423014587
16,people,NOUN,1,9.090909090909092,NOUN,17,2.755267423014587
17,people,NOUN,1,9.090909090909092,NOUN,17,2.755267423014587
18,people,NOUN,1,12.5,NOUN,17,2.755267423014587
20,people,NOUN,1,20.0,NOUN,17,2.755267423014587
54,people,NOUN,1,16.666666666666664,NOUN,17,2.755267423014587
56,people,NOUN,1,16.666666666666664,NOUN,17,2.755267423014587
57,people,NOUN,1,20.0,NOUN,17,2.755267423014587
61,people,NOUN,1,7.142857142857142,NOUN,17,2.755267423014587
62,people,NOUN,1,16.666666666666664,NOUN,17,2.755267423014587
67,people,NOUN,1,5.555555555555555,NOUN,17,2.755267423014587
86,people,NOUN,1,8.333333333333332,NOUN,17,2.755267423014587
87,people,NOUN,1,12.5,NOUN,17,2.755267423014587
106,people,NOUN,1,16.666666666666664,NOUN,17,2.755267423014587
4,personality,NOUN,1,20.0,NOUN,1,0.1620745542949757
4,vibe,NOUN,1,20.0,NOUN,1,0.1620745542949757
5,collaborate,ADJ,1,20.0,ADJ,1,0.1620745542949757
5,light,NOUN,1,20.0,NOUN,8,1.2965964343598055
22,light,NOUN,1,12.5,NOUN,8,1.2965964343598055
40,light,NOUN,1,14.285714285714285,NOUN,8,1.2965964343598055
67,light,NOUN,2,11.11111111111111,NOUN,8,1.2965964343598055
111,light,ADJ,1,10.0,NOUN,8,1.2965964343598055
113,light,NOUN,1,25.0,NOUN,8,1.2965964343598055
116,light,NOUN,1,14.285714285714285,NOUN,8,1.2965964343598055
5,meeting,NOUN,1,20.0,NOUN,1,0.1620745542949757
5,realistic,ADJ,1,20.0,ADJ,1,0.1620745542949757
6,melatonin,NOUN,1,25.0,NOUN,1,0.1620745542949757
6,sleep,NOUN,1,25.0,NOUN,2,0.3241491085899514
10,sleep,NOUN,1,12.5,NOUN,2,0.3241491085899514
7,amount,NOUN,1,10.0,NOUN,1,0.1620745542949757
7,coffee,NOUN,2,20.0,NOUN,2,0.3241491085899514
7,cup,NOUN,2,20.0,NOUN,2,0.3241491085899514
7,outside,NOUN,1,10.0,NOUN,3,0.4862236628849271
63,outside,ADJ,1,14.285714285714285,NOUN,3,0.4862236628849271
64,outside,ADJ,1,11.11111111111111,NOUN,3,0.4862236628849271
7,progress,NOUN,1,10.0,NOUN,2,0.3241491085899514
31,progress,NOUN,1,25.0,NOUN,2,0.3241491085899514
7,screen,NOUN,1,10.0,NOUN,8,1.2965964343598055
14,screen,NOUN,1,11.11111111111111,NOUN,8,1.2965964343598055
20,screen,NOUN,1,20.0,NOUN,8,1.2965964343598055
30,screen,NOUN,1,50.0,NOUN,8,1.2965964343598055
51,screen,NOUN,2,50.0,NOUN,8,1.2965964343598055
93,screen,NOUN,1,14.285714285714285,NOUN,8,1.2965964343598055
111,screen,NOUN,1,10.0,NOUN,8,1.2965964343598055
7,tangent,NOUN,1,10.0,NOUN,1,0.1620745542949757
7,track,NOUN,1,10.0,NOUN,5,0.8103727714748784
13,track,NOUN,1,16.666666666666664,NOUN,5,0.8103727714748784
29,track,NOUN,1,33.33333333333333,NOUN,5,0.8103727714748784
31,track,NOUN,1,25.0,NOUN,5,0.8103727714748784
114,track,NOUN,1,20.0,NOUN,5,0.8103727714748784
8,audio,ADJ,1,12.5,ADJ,3,0.4862236628849271
58,audio,ADJ,1,33.33333333333333,ADJ,3,0.4862236628849271
76,audio,ADJ,1,11.11111111111111,ADJ,3,0.4862236628849271
8,device,NOUN,1,12.5,NOUN,8,1.2965964343598055
32,device,NOUN,1,50.0,NOUN,8,1.2965964343598055
38,device,NOUN,1,10.0,NOUN,8,1.2965964343598055
39,device,NOUN,1,50.0,NOUN,8,1.2965964343598055
60,device,NOUN,2,22.22222222222222,NOUN,8,1.2965964343598055
76,device,NOUN,1,11.11111111111111,NOUN,8,1.2965964343598055
92,device,NOUN,1,33.33333333333333,NOUN,8,1.2965964343598055
8,document,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,file,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,paper,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,reading,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,transit,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,user,NOUN,1,12.5,NOUN,14,2.26904376012966
33,user,NOUN,1,33.33333333333333,NOUN,14,2.26904376012966
34,user,NOUN,1,20.0,NOUN,14,2.26904376012966
65,user,NOUN,1,20.0,NOUN,14,2.26904376012966
