word,Maxpos,wordCount
abil,NN,1
abl,JJ,4
academi,NN,1
access,NN,2
accountabilitybuddi,NN,1
act,VBP,1
activ,NN,2
activist,NNS,1
acupressur,NN,1
add,VB,3
adjust,VBZ,8
advic,NN,1
affect,JJ,1
air,NN,1
aircondit,JJ,1
alarm,NN,1
alert,VB,3
allow,VBZ,14
altern,VBG,1
ambianc,NNS,1
ambienc,NN,5
ambient,NN,1
amount,NN,2
anim,NNS,1
anxieti,NN,2
app,VB,8
approach,JJ,1
are,VBP,13
area,NN,3
aromatherapi,NN,2
arriv,VBP,1
art,NN,1
ask,VBN,1
assist,NNS,2
atmospher,NNS,2
attach,VBZ,2
attatch,NN,1
audio,NN,3
augment,JJ,1
awak,NN,1
awar,JJ,1
back,NN,2
background,NN,2
backpack,NN,1
bad,JJ,1
bag,NN,3
bagjacket,NN,1
balanc,NN,1
ball,NN,2
band,NN,1
base,VBN,10
bathroom,NNS,1
be,VBG,23
been,VBN,2
belong,NNS,1
block,VBZ,2
board,NN,1
bodi,NN,1
bot,NN,1
bottl,NN,2
bounc,VB,2
box,NN,2
bracelet,NNS,6
brainstorm,NN,1
brainwav,NN,1
break,VBP,8
breakseat,NN,1
breath,VBG,1
breathabl,JJ,1
bright,NN,2
bu,NN,1
buddi,NNS,1
built,VBN,1
bumpi,NN,1
burn,VBG,1
buse,NNS,1
bustrain,NN,1
button,NNS,2
buttonsmot,NN,1
cafe,NN,1
call,NNS,3
calm,VBG,3
cancel,VBG,1
cant,NN,1
capac,NN,1
carri,VB,1
case,NN,1
certain,JJ,2
chair,NNS,2
chamomilesc,JJ,1
chang,VBZ,7
charg,VBG,2
charger,NN,1
check,VBG,3
checklist,NN,1
children,NNS,1
choos,VB,1
citi,NN,1
class,NN,1
clench,VBP,2
clipboard,NN,1
close,VBN,1
cm,NNS,4
coffe,NN,2
coffeeshop,NN,1
collabor,NN,5
collaps,VBN,2
collect,VBZ,2
color,NNS,6
combat,VBP,1
combin,NN,1
come,VBZ,2
comfort,NN,1
common,JJ,1
commun,VBZ,2
commut,VBG,4
compet,VB,1
competit,NN,1
complet,VB,1
compon,NN,1
comput,NN,5
concentr,NN,1
conduct,NN,1
connect,VBN,8
consist,VBZ,1
contact,JJ,1
content,NNS,2
control,NN,3
conveni,JJ,1
convers,NNS,2
convert,VBN,1
cool,VBZ,2
cozi,NN,1
crack,NN,1
creat,VBP,8
cup,NN,2
current,JJ,2
cushion,NN,2
cycl,NNS,2
cylindr,JJ,1
danger,NN,1
darklight,VB,1
data,NNS,2
day,NNS,10
daylight,NN,1
daytoday,NN,1
deadlin,NNS,1
deep,JJ,1
depend,VBG,4
deploy,VBP,1
design,VBN,4
desk,VB,6
detect,VBZ,9
devic,VBP,25
dial,NNS,1
diamet,NN,1
die,VBZ,1
differ,JJ,3
diffus,VB,2
digit,JJ,3
dine,VBG,1
direct,NN,1
disabl,VBZ,1
display,VBZ,8
disrupt,NN,2
distract,VBN,2
dizzi,NN,1
document,NNS,1
doe,VBZ,1
dont,VBP,2
doubl,VBZ,1
draw,VB,2
drink,VB,2
durabl,JJ,1
durat,NN,1
dust,NN,1
ear,NNS,1
earpiec,NN,1
earpieceearbud,NNS,1
eas,VB,1
easi,JJ,1
eg,NN,1
electrocut,VBZ,1
emit,VBZ,3
emot,NNS,2
enabl,VB,1
encourag,VBG,3
enforc,VBZ,1
enhanc,VB,1
enjoy,VB,1
entri,NNS,1
environ,NN,5
environment,JJ,1
equip,VBN,2
ergonom,JJ,1
etc,VBP,2
everyday,JJ,1
everytim,VBZ,1
exam,NNS,1
exchang,NN,1
exercis,VB,3
expand,VB,1
experi,NN,1
extend,VB,1
eye,NNS,2
eyestrain,NN,1
eyetrack,NN,1
ez,NN,1
fabric,NN,1
face,NN,1
facial,JJ,1
facilit,VB,3
fact,NNS,1
favorit,JJ,1
featur,NN,1
feed,VB,1
feedback,NN,1
feel,VB,4
field,NN,1
file,NNS,1
fill,VBN,1
filter,VB,2
find,VBG,2
finish,VBP,2
fit,VB,1
flashcard,NNS,1
flat,NNS,2
fli,VBG,1
flight,NNS,1
foam,NN,1
focu,NN,2
focus,VBN,3
fold,NN,1
forearm,VB,2
form,NNS,1
format,NN,1
foster,VB,1
friend,NNS,1
front,NN,1
fun,NN,2
further,JJ,1
gadget,NNS,1
game,NN,2
gentl,JJ,1
gestur,NNS,1
get,VBZ,3
give,VB,2
glass,NNS,5
glassesheadset,VBD,1
glossi,JJ,1
go,VBP,5
goal,NNS,2
gone,VBN,1
good,JJ,1
grab,VBG,1
ground,NN,1
guard,NN,1
guid,VBZ,2
gym,NN,1
ha,VBZ,16
habit,NNS,2
hall,NN,1
hand,NNS,4
handwrit,NN,1
happen,VBZ,1
haptic,NNS,3
hard,JJ,1
have,VBP,5
headphon,NNS,5
headseat,NN,1
headset,NNS,1
hear,VB,1
heart,NN,4
heartbeat,VBP,6
height,NN,1
help,VBZ,13
high,JJ,1
hold,VBG,3
hotel,NNS,1
hotkey,NNS,1
hour,NNS,3
hydrat,JJ,1
idea,NNS,5
identifi,VBP,1
