word,vector,pos
aircondit,29,1
alert,7,1
alert,12,1
ambient,31,1
amount,31,1
app,30,1
are,4,1
are,7,1
are,30,1
are,33,1
arriv,4,1
attach,31,1
attatch,11,1
backpack,9,1
bag,15,1
bag,17,1
bag,34,1
bagjacket,10,1
balanc,17,1
base,1,1
base,16,1
base,33,1
be,17,1
been,12,1
belong,7,1
block,5,2
bracelet,2,1
bracelet,13,1
bracelet,35,1
bright,11,1
bustrain,7,1
buttonsmot,4,1
cancel,16,1
chang,11,1
chang,33,1
charg,9,1
charg,34,1
charger,9,1
children,3,1
citi,35,1
clench,6,2
close,12,1
collect,7,1
color,11,1
combat,8,1
commut,31,1
data,7,1
desk,14,1
detect,10,1
detect,11,1
devic,30,1
devic,31,1
devic,34,1
die,3,1
dine,4,1
direct,1,1
display,27,1
disrupt,11,1
disrupt,18,1
distract,30,1
dont,2,1
dont,3,1
earpieceearbud,8,1
electrocut,2,1
emit,15,1
emit,16,1
emit,34,1
encourag,17,1
environ,31,1
etc,16,1
extend,27,1
eye,33,1
eyestrain,11,1
eyetrack,28,1
face,6,1
feed,3,1
focu,16,1
focus,28,1
focus,31,1
get,30,1
go,2,1
guard,6,1
ha,18,1
hall,4,1
have,1,1
headphon,16,1
help,31,1
help,35,1
hour,17,1
indic,13,1
is,10,1
is,15,1
is,34,1
jaw,6,1
journey,33,1
keep,14,2
know,4,1
lap,18,1
laptop,11,1
laptop,15,1
laptop,27,1
leav,16,1
leisur,5,2
level,11,1
level,16,1
life,17,1
light,11,1
light,13,1
light,16,1
light,31,1
lock,17,1
loss,12,1
make,28,1
mani,4,1
mani,17,1
map,1,1
mask,6,1
mask,33,1
measur,14,1
min,7,1
minim,18,1
mobil,30,1
monitor,27,1
monitor,31,1
motion,8,1
move,1,1
navig,35,1
need,6,1
need,35,2
new,35,1
nois,16,1
notif,30,1
open,17,1
orphan,3,1
own,3,1
pad,18,1
pair,35,1
peopl,6,1
pet,3,1
phone,10,2
phonelaptop,9,1
physic,14,1
pillow,26,1
place,10,1
pocket,10,1
pomodoro,3,1
portabl,27,1
prevent,12,1
prevent,30,1
put,7,1
put,12,1
red,16,1
reduc,11,1
relax,31,1
remov,15,1
remov,34,1
respawn,3,1
rout,7,1
screen,11,1
sensor,4,1
sensor,12,1
set,5,1
set,11,1
shakey,18,1
sick,8,1
side,35,1
signal,15,1
signal,34,1
sleep,11,1
sleep,33,1
sleepwak,2,1
smart,15,1
smartphon,31,1
softwar,30,1
solut,30,1
someth,12,1
space,5,2
space,11,1
stabil,18,1
stay,28,1
stay,31,1
stop,6,1
stop,7,1
stop,33,1
stop,35,1
strength,13,1
sure,28,1
system,3,1
tabl,4,2
tabl,18,1
tablet,27,1
taken,4,1
tamogatchilik,3,1
temperatur,33,1
that,3,1
tie,1,1
tie,3,1
time,2,1
time,14,1
took,12,1
track,14,1
travel,26,1
travel,30,1
tray,18,1
turn,35,1
uniterrupt,10,1
unnecessari,30,1
use,9,1
use,12,1
user,28,1
user,30,1
user,31,1
viabrat,33,1
vibrat,1,1
vibrat,6,1
vibrat,26,1
vibrat,35,2
wake,33,1
wasnt,12,1
wearabl,7,1
wearer,7,1
websit,5,2
wifi,13,1
wifi,15,1
wifi,34,1
wireless,9,1
wireless,34,1
work,5,2
work,10,1
work,17,1
