word,pos,vector
Wearables,NNS,1
support,VB,1
meditation,NN,1
bus,NN,1
study,NN,1
break,NNS,1
monitor,NN,2
reduce,VB,2
stress,NN,2
affective,JJ,2
computing,NN,2
emotional,JJ,3
support,NN,3
bot,NN,3
tangible,JJ,3
format,NN,3
encourage,NN,4
people,NNS,4
make,VB,4
friend,NNS,4
different,JJ,4
personality,NNS,4
vibe,NN,4
make,VB,5
meeting,NNS,5
collaborate,JJ,5
realistic,JJ,5
tangible,JJ,5
light,NNS,5
smile,NNS,5
etc,VBP,5
help,NN,6
people,NNS,6
relax,VBP,6
prepare,VB,6
sleep,JJ,6
tangible,JJ,6
melatonin,NN,6
coffee,NN,7
cup,NN,7
screen,NN,7
wrap,VBZ,7
outside,NN,7
track,VBZ,7
work,NN,7
progress,NN,7
tangent,NN,7
amount,NN,7
coffee,NN,7
leave,VBN,7
cup,NN,7
Device,NN,8
scan,VB,8
paper,NN,8
reading,NNS,8
document,NNS,8
save,VB,8
audio,JJ,8
file,NNS,8
read,VBG,8
loud,NN,8
user,NN,8
transit,NN,8
Smart,JJ,9
earring,NNS,9
act,VBP,9
headset,NNS,9
call,NNS,9
unobtrusive,JJ,9
hard,JJ,9
lose,VB,9
pillow,NN,10
breathe,VBG,10
pattern,JJ,10
mechanic,NNS,10
facilitate,VB,10
sleep,NN,10
long,JJ,10
flight,NNS,10
Making,VBG,11
work,NN,11
trip,NNS,11
interface,NN,11
show,VBZ,11
favorite,JJ,11
local,JJ,11
spot,NNS,11
be,VB,11
instal,VBN,11
hotel,NNS,11
travel,VBG,11
worker,NNS,11
use,VBP,11
case,NN,12
double,VBZ,12
interactive,JJ,12
laptop,NN,12
stand,NN,12
interface,NN,13
help,VBZ,13
keep,VB,13
track,NN,13
time,NN,13
tell,NNS,13
work,VB,13
rest,VB,13
base,VBN,13
practice,NNS,13
productivity,NN,13
reminder,NN,14
interface,NN,14
enforce,VBZ,14
be,VBG,14
practice,NNS,14
such,JJ,14
grab,VBG,14
drink,NN,14
water,NN,14
go,VBG,14
walk,NN,14
take,VBG,14
break,NN,14
screen,NN,14
place,NN,15
people,NNS,15
be,VBP,15
able,JJ,15
connect,VB,15
base,VBN,15
proximity,NN,15
start,VB,15
conversation,NNS,15
meet,VB,15
new,JJ,15
people,NNS,15
exchange,NN,15
idea,NNS,15
worker,NNS,16
space,NN,16
platform,NN,16
people,NNS,16
share,NN,16
review,NNS,16
upload,JJ,16
picture,NNS,16
rate,NN,16
public,JJ,16
work,NN,16
space,NNS,16
facilitation,NN,16
share,VBG,16
make,VBG,16
connection,NNS,16
place,NN,17
people,NNS,17
be,VBP,17
able,JJ,17
share,NN,17
common,JJ,17
work,NN,17
productivity,NN,17
goal,NNS,17
base,VBN,17
preference,NNS,17
be,VB,17
able,JJ,17
find,VB,17
accountabilitybuddy,NN,17
platform,NN,17
fun,NN,18
interactive,JJ,18
way,NN,18
create,VB,18
checklist,NN,18
todo,JJ,18
list,NN,18
motivate,VBZ,18
people,NNS,18
complete,VB,18
task,NNS,18
TUI,NN,19
measure,VBZ,19
regulate,VBZ,19
pulse,JJ,19
online,JJ,19
exam,NNS,19
portable,JJ,20
printer,NN,20
people,NNS,20
move,NN,20
cant,NN,20
read,NN,20
screen,NNS,20
sensory,JJ,21
pen,NN,21
send,VBZ,21
pulse,NNS,21
reminder,NNS,21
deadline,NNS,21
stay,VBG,21
awake,NN,21
reader,NNS,22
light,VBD,22
shine,NNS,22
color,NNS,22
different,JJ,22
ambiance,NNS,22
adjustment,NN,22
environmental,JJ,22
lightdarkness,NN,22
whiteboard,NN,23
adjust,VBZ,23
darklight,VB,23
mode,NN,23
TUI,NN,24
make,VBZ,24
task,NN,24
list,NNS,24
approachable,JJ,24
overwhelm,VBG,24
look,VB,24
light,JJ,26
therapy,NN,26
lamp,NNS,26
guide,VBD,26
meditation,NN,26
natural,JJ,26
sound,NN,26
prepare,VB,26
people,NNS,26
sleep,NN,26
wallmounted,JJ,27
interactive,JJ,27
whiteboard,NN,27
multitouch,JJ,27
gesture,NNS,27
facial,JJ,27
recognition,NN,27
enable,VB,27
collaborative,JJ,27
brainstorming,NN,27
session,NNS,27
digital,JJ,28
pen,NN,28
allow,VBZ,28
user,NNS,28
draw,VB,28
write,VB,28
surface,NN,28
pen,NN,28
