word,pos,vector
wearable,NOUN,1
meditation,NOUN,1
bus,NOUN,1
study,NOUN,1
break,NOUN,1
stress,NOUN,2
affective,ADJ,2
computing,NOUN,2
emotional,ADJ,3
support,NOUN,3
bot,NOUN,3
tangible,ADJ,3
format,NOUN,3
people,NOUN,4
friend,NOUN,4
different,ADJ,4
personality,NOUN,4
vibe,NOUN,4
meeting,NOUN,5
collaborate,ADJ,5
realistic,ADJ,5
tangible,ADJ,5
light,NOUN,5
people,NOUN,6
sleep,NOUN,6
tangible,ADJ,6
melatonin,NOUN,6
coffee,NOUN,7
cup,NOUN,7
screen,NOUN,7
outside,NOUN,7
track,NOUN,7
progress,NOUN,7
tangent,NOUN,7
amount,NOUN,7
coffee,NOUN,7
cup,NOUN,7
device,NOUN,8
paper,NOUN,8
reading,NOUN,8
document,NOUN,8
audio,ADJ,8
file,NOUN,8
user,NOUN,8
transit,NOUN,8
smart,ADJ,9
earring,NOUN,9
headset,NOUN,9
call,NOUN,9
unobtrusive,ADJ,9
hard,ADJ,9
neck,NOUN,10
pillow,NOUN,10
breathing,NOUN,10
pattern,NOUN,10
mechanic,NOUN,10
sleep,NOUN,10
long,ADJ,10
flight,NOUN,10
most,ADJ,11
work,NOUN,11
trip,NOUN,11
interface,NOUN,11
favorite,ADJ,11
local,ADJ,11
spot,NOUN,11
hotel,NOUN,11
worker,NOUN,11
laptop,NOUN,12
case,NOUN,12
interactive,ADJ,12
laptop,NOUN,12
stand,NOUN,12
interface,NOUN,13
track,NOUN,13
time,NOUN,13
good,ADJ,13
practice,NOUN,13
productivity,NOUN,13
reminder,NOUN,14
interface,NOUN,14
practice,NOUN,14
such,ADJ,14
drink,NOUN,14
water,NOUN,14
walk,NOUN,14
break,NOUN,14
screen,NOUN,14
place,NOUN,15
people,NOUN,15
able,ADJ,15
proximity,NOUN,15
conversation,NOUN,15
new,ADJ,15
people,NOUN,15
exchange,NOUN,15
idea,NOUN,15
worker,NOUN,16
space,NOUN,16
platform,NOUN,16
people,NOUN,16
review,NOUN,16
picture,NOUN,16
public,ADJ,16
work,NOUN,16
space,NOUN,16
facilitation,NOUN,16
connection,NOUN,16
place,NOUN,17
people,NOUN,17
able,ADJ,17
common,ADJ,17
work,NOUN,17
productivity,NOUN,17
goal,NOUN,17
