,Word,0,1,2,3,4,5
0,also,,,,,,0.016
1,ambient,,,,,0.02,
2,apps,,,0.017,,,
3,bracelet,,,,,0.02,
4,commuter,,,0.017,,,
5,create,,,,,,0.016
6,device,0.029,0.022,,0.018,,0.016
7,display,0.02,,,,,
8,distracted,,,0.017,,,
9,focused,,,,,0.02,
10,index,0.0,1.0,2.0,3.0,4.0,5.0
11,interactive,,,,,0.011,
12,levels,0.02,,,,,
13,light,,0.029,,,0.02,0.02
14,mobile,,,0.017,,,
15,motion,,0.015,,,,
16,name,0.047,,,,,
17,nausea,,0.015,,,,
18,pendants,,,,0.013,,
19,people,,,,,0.011,
20,persons,0.02,,,,,
21,pillow,,,,,,0.024
22,posture,,,,,,0.02
23,prevents,,,0.017,,,
24,reduce,,0.015,,,,
25,relax,,0.015,,,,
26,schedule,,,,0.018,,
27,sickness,,0.015,,,,
28,software,,,0.031,,,
29,sound,,0.022,,,,
30,stress,0.02,,,,,
31,surface,,,,0.024,,
32,tablet,0.02,,,,,
33,tasks,,,,0.024,,
34,technology,,,,,0.011,
35,track,,,,0.013,,
36,traveling,,,0.017,,,
37,user,,,,0.013,,0.016
38,users,,,0.017,,,
39,uses,0.02,,,,,
40,wallmounted,,,,,0.011,
41,wireless,,,,0.013,,
42,wrist,,,,,,0.02
